task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.0015125488862395287,3808.7760869120248,29.962020955979824,3808.777599460911,1.0579937776280308,449800,7100,4498,4498,0
1,0.002104267943650484,5924.97317020176,34.33153712423518,5924.975274469703,1.6458264651304733,549800,8600,5498,5498,0
2,0.002526654861867428,6663.335241776891,32.33116718195379,6663.337768431753,1.8509271578977091,649800,10200,6498,6498,0
3,0.0029510329477488995,5980.452219097875,33.34200212918222,5980.455170130823,1.6612375472585619,757300,11900,7573,7573,0
