task,task_label,test.map50_95,seen_mean
0,full-cold,0.1734133756752544,0.1734133756752544
1,full-cold,0.1609193123180909,0.1609193123180909
2,full-cold,0.1828791535806909,0.1828791535806909
3,full-cold,0.18474632249483197,0.18474632249483197
