rank,left,right,similarity
1,01138_1783666508321403_0.jpg,03930_1784514336438507_0.jpg,0.995025634765625
2,01138_1783666508321403_0.jpg,02131_1784211128247403_0.jpg,0.9939881563186646
3,01013_1783496639094132_0.jpg,07091_1784527598129724_0.jpg,0.9935108423233032
4,02220_1784257738267835_0.jpg,03003_1784445553632574_0.jpg,0.993139386177063
5,00891_1783304850439283_0.jpg,02525_1784353992917848_0.jpg,0.9926339387893677
6,02131_1784211128247403_0.jpg,03930_1784514336438507_0.jpg,0.9923139810562134
7,01013_1783496639094132_0.jpg,02023_1784166498917676_0.jpg,0.9921583533287048
8,01013_1783496639094132_0.jpg,04101_1784519196979588_0.jpg,0.9921279549598694
9,00912_1783323818309956_0.jpg,02624_1784365777743059_0.jpg,0.9920345544815063
10,00891_1783304850439283_0.jpg,04013_1784516998443553_0.jpg,0.9917571544647217
