rank,left,right,similarity
1,01117_1783654297158646_0.jpg,01720_1783934127491465_0.jpg,0.9964991211891174
2,02220_1784257738267835_0.jpg,02225_1784257783579844_0.jpg,0.9959558248519897
3,01117_1783654297158646_0.jpg,02153_1784243020975530_0.jpg,0.9955238699913025
4,00985_1783477791853543_0.jpg,01720_1783934127491465_0.jpg,0.9953442215919495
5,00985_1783477791853543_0.jpg,01013_1783496639094132_0.jpg,0.9952701926231384
6,02211_1784257663064821_0.jpg,02220_1784257738267835_0.jpg,0.9951696991920471
7,00985_1783477791853543_0.jpg,01482_1783841365772198_0.jpg,0.9950428009033203
8,01138_1783666508321403_0.jpg,03930_1784514336438507_0.jpg,0.9950257539749146
9,03156_1784451377464089_0.jpg,03930_1784514336438507_0.jpg,0.9948891401290894
10,00985_1783477791853543_0.jpg,01117_1783654297158646_0.jpg,0.9948492050170898
