rank,left,right,similarity
1,01138_1783666508321403_0.jpg,03930_1784514336438507_0.jpg,0.9950257539749146
2,01013_1783496639094132_0.jpg,01482_1783841365772198_0.jpg,0.9948166012763977
3,01013_1783496639094132_0.jpg,01720_1783934127491465_0.jpg,0.9943422675132751
4,01720_1783934127491465_0.jpg,02153_1784243020975530_0.jpg,0.9940209984779358
5,01138_1783666508321403_0.jpg,02376_1784280461382040_0.jpg,0.9939650893211365
6,02376_1784280461382040_0.jpg,03930_1784514336438507_0.jpg,0.9938308596611023
7,01642_1783911407152102_0.jpg,04013_1784516998443553_0.jpg,0.9937564730644226
8,01482_1783841365772198_0.jpg,01720_1783934127491465_0.jpg,0.993656575679779
9,01013_1783496639094132_0.jpg,07091_1784527598129724_0.jpg,0.9935109615325928
10,01019_1783504779057314_0.jpg,04013_1784516998443553_0.jpg,0.9931338429450989
