task,task_label,test.map50_95,seen_mean
0,full-cold,0.1651235049486824,0.1651235049486824
1,full-cold,0.16977007585890555,0.16977007585890555
2,full-cold,0.1640010046714631,0.1640010046714631
3,full-cold,0.18776665567944786,0.18776665567944786
