task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.00020172912627458572,1089.740997705143,161.3814887648914,1089.7411994342692,0.3027058887317414,61500,1000,615,615,0
1,0.0004739779978990555,1416.4778493549675,164.28013480175287,1416.4783233329654,0.39346620092582374,123000,2000,1230,1230,0
2,0.000669974135234952,1572.5524923910853,164.7453026410658,1572.5531623652205,0.4368203228792279,184400,2900,1844,1844,0
3,0.000890159048140049,1715.8321690429002,154.5818398972042,1715.8330592019483,0.4766202942227634,245800,3900,2458,2458,0
4,0.0010508368723094463,2376.953589214012,167.87430386408232,2376.9546400508843,0.6602651777919123,307200,4800,3072,3072,0
5,0.0012668510898947716,3124.5792856349144,160.27226178115234,3124.5805524860043,0.8679390423572234,368600,5800,3686,3686,0
6,0.0014881179668009281,3150.5288817889523,156.7309923232533,3150.530369906919,0.8751473249741442,430000,6800,4300,4300,0
7,0.001703648129478097,6181.381363248918,202.1125229287427,6181.383066897048,1.7170508519158465,491400,7700,4914,4914,0
