cluster_id,group,cluster_size,image,representative,score_to_representative
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02207_1784257632719814_0.jpg,images/02220_1784257738267835_0.jpg,0.99214810
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02208_1784257632841815_0.jpg,images/02220_1784257738267835_0.jpg,0.99388069
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02210_1784257647893818_0.jpg,images/02220_1784257738267835_0.jpg,0.99319822
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02211_1784257663064821_0.jpg,images/02220_1784257738267835_0.jpg,0.99516976
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02214_1784257693055826_0.jpg,images/02220_1784257738267835_0.jpg,0.99536300
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02215_1784257693140827_0.jpg,images/02220_1784257738267835_0.jpg,0.99529040
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02216_1784257708193829_0.jpg,images/02220_1784257738267835_0.jpg,0.99091429
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02217_1784257708254830_0.jpg,images/02220_1784257738267835_0.jpg,0.99048334
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02220_1784257738267835_0.jpg,images/02220_1784257738267835_0.jpg,1.00000000
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02221_1784257753319838_0.jpg,images/02220_1784257738267835_0.jpg,0.99418592
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02222_1784257753713840_0.jpg,images/02220_1784257738267835_0.jpg,0.99295533
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02223_1784257768376841_0.jpg,images/02220_1784257738267835_0.jpg,0.99645495
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02224_1784257768871842_0.jpg,images/02220_1784257738267835_0.jpg,0.99582744
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02225_1784257783579844_0.jpg,images/02220_1784257738267835_0.jpg,0.99595571
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02226_1784257783929845_0.jpg,images/02220_1784257738267835_0.jpg,0.99482316
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02227_1784257798598847_0.jpg,images/02220_1784257738267835_0.jpg,0.99506450
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02228_1784257798980849_0.jpg,images/02220_1784257738267835_0.jpg,0.99538147
stroller_reviewed_window10_000001,stroller_reviewed,18,images/02230_1784257828698853_0.jpg,images/02220_1784257738267835_0.jpg,0.99237716
stroller_reviewed_window10_000002,stroller_reviewed,4,images/02787_1784438100510135_0.jpg,images/02791_1784438160698147_0.jpg,0.99124235
stroller_reviewed_window10_000002,stroller_reviewed,4,images/02791_1784438160698147_0.jpg,images/02791_1784438160698147_0.jpg,1.00000000
stroller_reviewed_window10_000002,stroller_reviewed,4,images/02792_1784438191071153_0.jpg,images/02791_1784438160698147_0.jpg,0.99467242
stroller_reviewed_window10_000002,stroller_reviewed,4,images/02793_1784438206135156_0.jpg,images/02791_1784438160698147_0.jpg,0.99299431
