task,task_label,test.map50_95,seen_mean
0,full-warm,0.1734133756752544,0.1734133756752544
1,full-warm,0.16731999467904723,0.16731999467904723
2,full-warm,0.17874545203134387,0.17874545203134387
3,full-warm,0.1885388580091344,0.1885388580091344
