task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.0014870562590658665,4182.574147321284,31.333593189250678,4182.575634377543,1.161826565104873,449800,7100,4498,4498,0
1,0.002082287799566984,8818.587464435026,31.44342533685267,8818.589546722826,2.4496082074230072,549800,8600,5498,5498,0
2,0.0024973847903311253,8273.915518634953,31.509858527686447,8273.918016019743,2.298310560005484,649800,10200,6498,6498,0
3,0.0029240362346172333,6221.970260213129,33.93039561994374,6221.973184249364,1.7283258845137122,757300,11900,7573,7573,0
