experiment,stage,task_output,selected_count,candidate_count,images_read,optimizer_steps,training_seconds,map50_95,map50,precision,recall,large_luggage_ap,ap.large luggage,ap.stroller,ap.wheelchair,ap.flatbed truck,delta_vs_full_all.map50_95,delta_vs_full_all.map50,delta_vs_full_all.large_luggage_ap
full_all,3,/home/lijinhe/work/YOLO_Retraining/runs/studies/20260824-182608/sequences/full_all__seq-full-cold__stage0-stage3__yolov5s__s42/tasks/003__stage3__full-cold,7573,7573,757300,11900,3870.8913242010167,0.18164552792619384,0.41417605898297494,0.7433477057410686,0.38115609999960065,0.22406131665431053,0.22406131665431053,0.26666732222074635,0.22861801701928278,0.007235455810435736,0.0,0.0,0.0
dedup_tau_0p900,3,/home/lijinhe/work/YOLO_Retraining/runs/studies/20260824-182608/sequences/dedup_tau_0p900__seq-full-cold__stage0-stage3__yolov5s__s42/tasks/003__stage3__full-cold,3917,3917,391700,6200,2379.5572724849917,0.16098958859190096,0.36016232010649185,0.7150360908502098,0.32046456087127045,0.20664208182873586,0.20664208182873586,0.24877429658499178,0.187032373138391,0.0015096028154851684,-0.020655939334292883,-0.054013738876483086,-0.01741923482557467
random_frame_s42,3,/home/lijinhe/work/YOLO_Retraining/runs/studies/20260824-182608/sequences/random_frame_s42__seq-full-cold__stage0-stage3__yolov5s__s42/tasks/003__stage3__full-cold,7573,7573,757300,11900,3905.4136369329644,0.43711408444377253,0.7424705159614315,0.6880718507758634,0.6709640271270845,0.49302600382086165,0.49302600382086165,0.4742063600966899,0.5981664422141166,0.18305753164342192,0.2554685565175787,0.3282944569784566,0.2689646871665511
