task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.00018919003196060658,2376.053875458194,171.0453437580727,2376.054064648226,0.6600150179578406,40100,700,401,401,0
1,0.0003271200694143772,2368.87726925686,165.57396742887795,2368.8775963769294,0.658021554549147,98700,1600,987,987,0
2,0.0005689850077033043,2787.053442764096,164.1675229149405,2787.0540117491037,0.7741816699303066,152800,2400,1528,1528,0
3,0.000634768046438694,2053.588121861918,150.91680166800506,2053.5887566299643,0.5704413212861013,170900,2700,1709,1709,0
4,0.0006682618986815214,1518.7047209269367,154.48065042798407,1518.7053891888354,0.42186260810800985,192000,3000,1920,1920,0
5,0.0007210290059447289,1402.788913190132,159.4482457851991,1402.789634219138,0.38966378728309387,206700,3300,2067,2067,0
6,0.0008221960160881281,1639.094931449974,156.88814895809628,1639.09575364599,0.455304376012775,227300,3600,2273,2273,0
7,0.0008442781399935484,1645.5579275828786,150.36632567481138,1645.5587718610186,0.457099658850283,237800,3800,2378,2378,0
