task,task_label,test.map50_95,test.map50,test.precision,test.recall,seen_mean
0,full-cold,0.16660228061331112,0.3765897279190333,0.7496014531652426,0.3471586633706338,0.16660228061331112
1,full-cold,0.21897355347556932,0.44804335460992883,0.7648742877633772,0.4119371705124881,0.21897355347556932
2,full-cold,0.22066004434888065,0.47659132754592426,0.8167700032283494,0.4208606587150867,0.22066004434888065
3,full-cold,0.22273055539267045,0.4647222157367894,0.7729257156393581,0.44073550486510027,0.22273055539267045
4,full-cold,0.22179944715324548,0.4645714450921556,0.7863912316830072,0.4202215830326336,0.22179944715324548
5,full-cold,0.2158413099741638,0.4612386938156774,0.7346985463736246,0.4392597873995333,0.2158413099741638
6,full-cold,0.22127398460817305,0.47663013133173465,0.7598427692393374,0.4439131821343867,0.22127398460817305
7,full-cold,0.22963283703260134,0.4944123237507859,0.8572909867561291,0.41597427658407693,0.22963283703260134
