task,task_label,test.map50_95,test.map50,test.precision,test.recall,seen_mean
0,full-cold,0.3988005401898487,0.8391240273931654,0.8255219776738764,0.8048780487804879,0.3988005401898487
1,full-cold,0.4443195287324799,0.8752402302336326,0.9100059997408839,0.8048780487804879,0.4443195287324799
2,full-cold,0.47465292398235465,0.8976710886754693,0.8816362705991002,0.8536585365853658,0.47465292398235465
3,full-cold,0.47102961190250364,0.8947632391901337,0.9037744072134024,0.8414634146341463,0.47102961190250364
4,full-cold,0.4939775469323607,0.9350288097475989,0.9359813404106271,0.8915049258787411,0.4939775469323607
5,full-cold,0.5545138229409831,0.9491044604821045,0.9480572087014145,0.8536585365853658,0.5545138229409831
6,full-cold,0.5294632265649468,0.9329969656517862,0.9357002747493784,0.8873557320604067,0.5294632265649468
7,full-cold,0.5340989251631411,0.9233226087859783,0.9263880097156112,0.9208722775022143,0.5340989251631411
