task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.00020187604241073132,858.1980040570488,161.92602519504726,858.1982059330912,0.23838839053696978,57500,900,575,575,0
1,0.000553379999473691,1289.7929620330688,167.1284106959356,1289.7935154130682,0.3582759765036301,157500,2500,1575,1575,0
2,0.0008858420187607408,1566.0476064829854,157.69344280310906,1566.0484923250042,0.43501347009027896,257500,4100,2575,2575,0
3,0.0012112259864807129,2584.056033784058,157.58112802205142,2584.0572450100444,0.7177936791694568,357500,5600,3575,3575,0
4,0.0015417200047522783,3094.4358192109503,165.1089537650114,3094.437360930955,0.859565933591932,457500,7200,4575,4575,0
5,0.002168831997551024,3351.6902750870213,163.05759450804908,3351.692443919019,0.9310256788663941,557500,8800,5575,5575,0
6,0.002486027078703046,3759.25874097005,157.57350095291622,3759.2612269971287,1.0442392297214247,657300,10300,6573,6573,0
7,0.0029519189847633243,3816.4270656780573,161.93937534908764,3816.430017597042,1.0601194493325117,757300,11900,7573,7573,0
