task,task_label,test.map50_95,seen_mean
0,random-replay,0.1651235049486824,0.1651235049486824
1,random-replay,0.11891430891490787,0.11891430891490787
2,random-replay,0.1208343668287816,0.1208343668287816
3,random-replay,0.12624508610767227,0.12624508610767227
