task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.003633978310972452,3530.1310614338145,35.525175022892654,3530.1346954121254,0.9805929709478126,449800,7100,4498,4498,0
1,0.004846022929996252,1680.0709581398405,32.194493561051786,1680.0758041627705,0.46668772337854736,150000,2400,5498,1500,500
2,0.005623247008770704,2067.117727022618,33.49155434500426,2067.123350269627,0.5742009306304519,150000,2400,6498,1500,500
3,0.006978044752031565,1928.6206478718668,31.830807281658053,1928.6276259166189,0.5357298960879496,157500,2500,7573,1575,500
