task,task_label,test.map50_95,seen_mean
0,random-replay,0.1734133756752544,0.1734133756752544
1,random-replay,0.11741091753227986,0.11741091753227986
2,random-replay,0.12155039266684897,0.12155039266684897
3,random-replay,0.10847879516679376,0.10847879516679376
