task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.0015213759616017342,4335.082719495054,31.929662910755724,4335.084240871016,1.2041900669086156,449800,7100,4498,4498,0
1,0.00029797572642564774,1631.156616028864,32.32255465351045,1631.1569140045904,0.4530991427790529,100000,1600,1000,1000,0
2,0.0003062640316784382,1084.570570285432,31.411641930695623,1084.5708765494637,0.3012696879304066,100000,1600,1000,1000,0
3,0.0003390130586922169,1169.2656788877212,29.424092795234174,1169.2660179007798,0.32479611608354997,107500,1700,1075,1075,0
