task,task_label,test.map50_95,seen_mean
0,current-only,0.1734133756752544,0.1734133756752544
1,current-only,0.0697452288705537,0.0697452288705537
2,current-only,0.09170065723448644,0.09170065723448644
3,current-only,0.06641179956975535,0.06641179956975535
