task,task_label,test.map50_95,test.map50,test.precision,test.recall,seen_mean
0,full-cold,0.041324777911908535,0.12263199674014454,0.7593391112596262,0.11016979899651136,0.041324777911908535
1,full-cold,0.05104756926071918,0.14348382576788282,0.6842493673981426,0.1522846103060108,0.05104756926071918
2,full-cold,0.12440811322742325,0.34512568793800835,0.6664959579393757,0.32818055629037385,0.12440811322742325
3,full-cold,0.1372286867082348,0.36436538014020214,0.6898475512181765,0.3332555526747904,0.1372286867082348
4,full-cold,0.13615994182204655,0.3606993518365189,0.6447678398491463,0.3624147884631216,0.13615994182204655
5,full-cold,0.16786189477908903,0.3980067866963019,0.7106015789933806,0.38505963183821623,0.16786189477908903
6,full-cold,0.17620941296629308,0.42986018884174926,0.8042673935692431,0.3612787899604078,0.17620941296629308
7,full-cold,0.2346638551235605,0.4739150552414853,0.774444923367795,0.4305198188985946,0.2346638551235605
