task,selection_seconds,training_seconds,evaluation_seconds,method_seconds,gpu_hours,images_read,optimizer_steps,candidate_count,selected_count,replay_count
0,0.00031065300572663546,852.5672407819657,147.05594917398412,852.5675514349714,0.2368243198430476,100000,1600,1000,1000,0
1,0.000675046001560986,1350.5451664599823,157.68210428208113,1350.5458415059838,0.3751516226405511,200000,3200,2000,2000,0
2,0.0010423900093883276,1889.2005639499985,155.2262061360525,1889.2016063400079,0.5247782239833355,299800,4700,2998,2998,0
3,0.0013559560757130384,2411.9392025140114,152.47005893592723,2411.940558470087,0.6699834884639131,399800,6300,3998,3998,0
4,0.0031993240118026733,3264.959146087058,166.75434172491077,3264.9623454110697,0.9069339848364083,457300,7200,4573,4573,0
5,0.004024117020890117,4230.980464991997,166.87654688896146,4230.984489109018,1.1752734691969493,557300,8800,5573,5573,0
6,0.002576641971245408,7498.22618585208,217.88205366500188,7498.228762494051,2.082841322915014,657300,10300,6573,6573,0
7,0.0028946211095899343,5426.874332655105,171.09656681795605,5426.877227276214,1.5074658964656151,757300,11900,7573,7573,0
