task,task_label,test.map50_95,seen_mean
0,full-warm,0.1651235049486824,0.1651235049486824
1,full-warm,0.17666958152666895,0.17666958152666895
2,full-warm,0.17450771594781747,0.17450771594781747
3,full-warm,0.1951817679459557,0.1951817679459557
