task,task_label,test.map50_95,seen_mean
0,current-only,0.1651235049486824,0.1651235049486824
1,current-only,0.08375531182613444,0.08375531182613444
2,current-only,0.12187710424967804,0.12187710424967804
3,current-only,0.0915270700515733,0.0915270700515733
