task,task_label,test.map50_95,test.map50,test.precision,test.recall,seen_mean
0,full-cold,0.36544183934971847,0.8183735562850452,0.8228200255644366,0.7764705882352941,0.36544183934971847
1,full-cold,0.4607949629172663,0.8616263567682536,0.8025128441409662,0.8605474059791957,0.4607949629172663
2,full-cold,0.4600540404760909,0.8671810983798462,0.8520426952525718,0.8117647058823529,0.4600540404760909
3,full-cold,0.4944333002943952,0.8777684813061873,0.808888307128393,0.8705882352941177,0.4944333002943952
4,full-cold,0.47773965163003734,0.9064269040622743,0.8646602361420472,0.9019793818279549,0.47773965163003734
5,full-cold,0.5240629391759003,0.9172070824264196,0.8311394876730902,0.9265261947946289,0.5240629391759003
6,full-cold,0.4403200952652517,0.8648959552971097,0.7885331326911562,0.8705882352941177,0.4403200952652517
7,full-cold,0.4965222207724816,0.9206692118198713,0.8934362233381842,0.8877576923328557,0.4965222207724816
